label,accuracy,precision,recall,f1
Random Forest [Todas],0.9841269841269841,1.0,0.9468085106382979,0.9726775956284153
Random Forest [Top-5],0.8984126984126984,0.8780487804878049,0.7659574468085106,0.8181818181818182
Naive Bayes [Todas],0.9206349206349206,0.8484848484848485,0.8936170212765957,0.8704663212435233
Naive Bayes [Top-5],0.8888888888888888,0.8470588235294118,0.7659574468085106,0.8044692737430168
Decision Tree [Todas],0.926984126984127,0.8585858585858586,0.9042553191489362,0.8808290155440415
Decision Tree [Top-5],0.8793650793650793,0.8111111111111111,0.776595744680851,0.7934782608695652
